name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,shot_key
DeAndre Jordan,LA Clippers,12/3/17,2017,3442,1610612746,400975087,2,2,9,1,Alley Oop Dunk Shot,2PT Field Goal,1,Minnesota Timberwolves,3,17,400975087229
DeAndre Jordan,LA Clippers,1/2/18,2017,3442,1610612746,400975299,1,1,34,1,Alley Oop Dunk Shot,2PT Field Goal,1,Memphis Grizzlies,1,11,4009752991134
DeAndre Jordan,LA Clippers,12/3/17,2017,3442,1610612746,400975087,4,3,25,1,Alley Oop Dunk Shot,2PT Field Goal,1,Minnesota Timberwolves,1,14,4009750874325
Steven Adams,Oklahoma City Thunder,1/28/18,2017,2991235,1610612760,400975482,4,5,6,1,Alley Oop Dunk Shot,2PT Field Goal,1,Philadelphia 76ers,-11,12,400975482456
Steven Adams,Oklahoma City Thunder,10/28/17,2017,2991235,1610612760,400974830,3,5,59,1,Alley Oop Dunk Shot,2PT Field Goal,1,Chicago Bulls,16,0,4009748303559
LeBron James,Cleveland Cavaliers,3/23/18,2017,1966,1610612739,400975826,1,6,48,1,Alley Oop Dunk Shot,2PT Field Goal,0,Phoenix Suns,3,9,4009758261648
LeBron James,Cleveland Cavaliers,11/13/17,2017,1966,1610612739,400974944,1,0,40,1,Alley Oop Dunk Shot,2PT Field Goal,0,New York Knicks,-3,-2,4009749441040
Giannis Antetokounmpo,Milwaukee Bucks,12/8/17,2017,3032977,1610612749,400975123,1,9,23,1,Alley Oop Dunk Shot,2PT Field Goal,1,Dallas Mavericks,6,10,4009751231923
LeBron James,Cleveland Cavaliers,3/28/18,2017,1966,1610612739,400975862,2,6,10,1,Alley Oop Dunk Shot,2PT Field Goal,1,Charlotte Hornets,-15,4,4009758622610
DeAndre Jordan,LA Clippers,2/27/18,2017,3442,1610612746,400975658,3,11,45,1,Alley Oop Dunk Shot,2PT Field Goal,1,Denver Nuggets,-7,15,40097565831145
Steven Adams,Oklahoma City Thunder,10/28/17,2017,2991235,1610612760,400974830,2,3,0,1,Alley Oop Dunk Shot,2PT Field Goal,1,Chicago Bulls,4,18,400974830230
Steven Adams,Oklahoma City Thunder,3/23/18,2017,2991235,1610612760,400975830,3,5,52,1,Alley Oop Dunk Shot,2PT Field Goal,0,Miami Heat,2,7,4009758303552
Steven Adams,Oklahoma City Thunder,2/8/18,2017,2991235,1610612760,400975562,3,8,27,1,Alley Oop Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,5,-1,4009755623827
Steven Adams,Oklahoma City Thunder,3/23/18,2017,2991235,1610612760,400975830,3,3,55,1,Alley Oop Dunk Shot,2PT Field Goal,1,Miami Heat,4,10,4009758303355
Steven Adams,Oklahoma City Thunder,12/22/17,2017,2991235,1610612760,400975228,1,4,45,1,Alley Oop Dunk Shot,2PT Field Goal,1,Atlanta Hawks,-11,7,4009752281445
DeAndre Jordan,LA Clippers,4/7/18,2017,3442,1610612746,400975937,3,6,30,1,Alley Oop Dunk Shot,2PT Field Goal,0,Denver Nuggets,-7,6,4009759373630
Kevin Durant,Golden State Warriors,12/3/17,2017,3202,1610612744,400975086,2,1,58,1,Alley Oop Dunk Shot,2PT Field Goal,1,Miami Heat,-12,1,4009750862158
DeAndre Jordan,LA Clippers,12/26/17,2017,3442,1610612746,400975251,3,7,38,1,Alley Oop Dunk Shot,2PT Field Goal,1,Sacramento Kings,-7,11,4009752513738
Steven Adams,Oklahoma City Thunder,12/3/17,2017,2991235,1610612760,400975088,2,1,46,1,Alley Oop Dunk Shot,2PT Field Goal,1,San Antonio Spurs,9,7,4009750882146
Giannis Antetokounmpo,Milwaukee Bucks,11/11/17,2017,3032977,1610612749,400974933,2,1,36,1,Alley Oop Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,-5,-6,4009749332136
Kentavious CaldwellPope,Los Angeles Lakers,4/4/18,2017,2581018,1610612747,400975920,2,6,57,1,Alley Oop Dunk Shot,2PT Field Goal,1,San Antonio Spurs,-12,15,4009759202657
DeAndre Jordan,LA Clippers,11/18/17,2017,3442,1610612746,400974979,3,10,55,1,Alley Oop Dunk Shot,2PT Field Goal,1,Charlotte Hornets,11,7,40097497931055
DeAndre Jordan,LA Clippers,12/3/17,2017,3442,1610612746,400975087,2,8,6,1,Alley Oop Dunk Shot,2PT Field Goal,1,Minnesota Timberwolves,8,16,400975087286
Kevin Durant,Golden State Warriors,1/30/18,2017,3202,1610612744,400975497,3,10,45,1,Alley Oop Dunk Shot,2PT Field Goal,1,Utah Jazz,14,7,40097549731045
Kristaps Porzingis,New York Knicks,12/12/17,2017,3102531,1610612752,400975150,1,1,53,1,Alley Oop Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,-9,1,4009751501153
Aaron Gordon,Orlando Magic,11/11/17,2017,3064290,1610612753,400974936,1,4,1,1,Alley Oop Dunk Shot,2PT Field Goal,2,Denver Nuggets,-18,14,400974936141
DeAndre Jordan,LA Clippers,10/21/17,2017,3442,1610612746,400974788,2,8,4,1,Alley Oop Dunk Shot,2PT Field Goal,1,Phoenix Suns,-11,5,400974788284
Kristaps Porzingis,New York Knicks,11/11/17,2017,3102531,1610612752,400974930,1,0,2,1,Alley Oop Dunk Shot,2PT Field Goal,0,Sacramento Kings,-8,0,400974930102
LeBron James,Cleveland Cavaliers,12/21/17,2017,1966,1610612739,400975217,1,11,6,1,Alley Oop Dunk Shot,2PT Field Goal,0,Chicago Bulls,3,0,4009752171116
Aaron Gordon,Orlando Magic,4/9/18,2017,3064290,1610612753,400975954,4,2,23,1,Alley Oop Dunk Shot,2PT Field Goal,1,Milwaukee Bucks,14,1,4009759544223
Steven Adams,Oklahoma City Thunder,1/13/18,2017,2991235,1610612760,400975375,1,3,32,1,Alley Oop Dunk Shot,2PT Field Goal,0,Charlotte Hornets,-5,0,4009753751332
DeAndre Jordan,LA Clippers,2/14/18,2017,3442,1610612746,400975604,1,1,45,1,Alley Oop Dunk Shot,2PT Field Goal,1,Boston Celtics,0,10,4009756041145
Kristaps Porzingis,New York Knicks,11/5/17,2017,3102531,1610612752,400974893,1,8,32,1,Alley Oop Dunk Shot,2PT Field Goal,0,Indiana Pacers,-5,8,4009748931832
Steven Adams,Oklahoma City Thunder,2/11/18,2017,2991235,1610612760,400975585,1,4,23,1,Alley Oop Dunk Shot,2PT Field Goal,0,Memphis Grizzlies,1,5,4009755851423
DeAndre Jordan,LA Clippers,11/5/17,2017,3442,1610612746,400974888,1,3,26,0,Alley Oop Dunk Shot,2PT Field Goal,1,Miami Heat,3,16,4009748881326
DeAndre Jordan,LA Clippers,2/14/18,2017,3442,1610612746,400975604,3,6,35,1,Alley Oop Dunk Shot,2PT Field Goal,0,Boston Celtics,-1,0,4009756043635
Kevin Durant,Golden State Warriors,1/13/18,2017,3202,1610612744,400975377,2,1,22,1,Alley Oop Dunk Shot,2PT Field Goal,1,Toronto Raptors,12,5,4009753772122
DeAndre Jordan,LA Clippers,1/11/18,2017,3442,1610612746,400975362,1,11,15,1,Alley Oop Dunk Shot,2PT Field Goal,1,Sacramento Kings,2,12,40097536211115
DeAndre Jordan,LA Clippers,12/13/17,2017,3442,1610612746,400975156,3,1,54,1,Alley Oop Dunk Shot,2PT Field Goal,1,Orlando Magic,1,13,4009751563154
DeAndre Jordan,LA Clippers,1/11/18,2017,3442,1610612746,400975362,1,6,21,1,Alley Oop Dunk Shot,2PT Field Goal,2,Sacramento Kings,-8,23,4009753621621
Steven Adams,Oklahoma City Thunder,12/13/17,2017,2991235,1610612760,400975155,2,3,49,1,Alley Oop Dunk Shot,2PT Field Goal,0,Indiana Pacers,0,8,4009751552349
DeAndre Jordan,LA Clippers,1/2/18,2017,3442,1610612746,400975299,1,2,52,1,Alley Oop Dunk Shot,2PT Field Goal,2,Memphis Grizzlies,14,24,4009752991252
DeAndre Jordan,LA Clippers,3/20/18,2017,3442,1610612746,400975806,2,3,57,1,Alley Oop Dunk Shot,2PT Field Goal,0,Minnesota Timberwolves,-1,0,4009758062357
DeAndre Jordan,LA Clippers,1/11/18,2017,3442,1610612746,400975362,2,5,15,1,Alley Oop Dunk Shot,2PT Field Goal,2,Sacramento Kings,-1,20,4009753622515
Steven Adams,Oklahoma City Thunder,2/1/18,2017,2991235,1610612760,400975511,1,8,17,1,Alley Oop Dunk Shot,2PT Field Goal,1,Denver Nuggets,14,14,4009755111817
DeAndre Jordan,LA Clippers,4/11/18,2017,3442,1610612746,400975974,3,11,23,1,Alley Oop Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,0,8,40097597431123
Steven Adams,Oklahoma City Thunder,10/22/17,2017,2991235,1610612760,400974790,1,4,38,1,Alley Oop Dunk Shot,2PT Field Goal,0,Minnesota Timberwolves,1,8,4009747901438
DeAndre Jordan,LA Clippers,12/2/17,2017,3442,1610612746,400975078,3,4,49,1,Alley Oop Dunk Shot,2PT Field Goal,2,Dallas Mavericks,-1,21,4009750783449
DeAndre Jordan,LA Clippers,3/20/18,2017,3442,1610612746,400975806,1,1,3,1,Alley Oop Dunk Shot,2PT Field Goal,1,Minnesota Timberwolves,2,10,400975806113
Steven Adams,Oklahoma City Thunder,4/1/18,2017,2991235,1610612760,400975896,1,8,52,1,Alley Oop Dunk Shot,2PT Field Goal,0,New Orleans Pelicans,-5,3,4009758961852
Giannis Antetokounmpo,Milwaukee Bucks,2/1/18,2017,3032977,1610612749,400975509,3,7,37,1,Alley Oop Dunk Shot,2PT Field Goal,0,Minnesota Timberwolves,-4,1,4009755093737
Steven Adams,Oklahoma City Thunder,12/25/17,2017,2991235,1610612760,400974448,1,11,20,1,Alley Oop Dunk Shot,2PT Field Goal,1,Houston Rockets,7,10,40097444811120
DeAndre Jordan,LA Clippers,11/20/17,2017,3442,1610612746,400974996,3,7,44,1,Alley Oop Dunk Shot,2PT Field Goal,1,New York Knicks,3,17,4009749963744
Steven Adams,Oklahoma City Thunder,12/20/17,2017,2991235,1610612760,400975211,2,2,35,1,Alley Oop Dunk Shot,2PT Field Goal,0,Utah Jazz,-3,6,4009752112235
DeAndre Jordan,LA Clippers,11/20/17,2017,3442,1610612746,400974996,2,1,2,0,Alley Oop Dunk Shot,2PT Field Goal,2,New York Knicks,9,21,400974996212
Steven Adams,Oklahoma City Thunder,1/28/18,2017,2991235,1610612760,400975482,3,2,59,1,Alley Oop Dunk Shot,2PT Field Goal,3,Philadelphia 76ers,38,10,4009754823259
Kristaps Porzingis,New York Knicks,11/27/17,2017,3102531,1610612752,400975044,1,10,1,0,Alley Oop Dunk Shot,2PT Field Goal,1,Portland Trail Blazers,11,-4,4009750441101
DeAndre Jordan,LA Clippers,1/28/18,2017,3442,1610612746,400975479,2,2,45,1,Alley Oop Dunk Shot,2PT Field Goal,1,New Orleans Pelicans,1,13,4009754792245
DeAndre Jordan,LA Clippers,12/22/17,2017,3442,1610612746,400975226,2,4,54,1,Alley Oop Dunk Shot,2PT Field Goal,0,Houston Rockets,-3,0,4009752262454
Steven Adams,Oklahoma City Thunder,1/28/18,2017,2991235,1610612760,400975482,1,8,20,1,Alley Oop Dunk Shot,2PT Field Goal,1,Philadelphia 76ers,12,3,4009754821820
Steven Adams,Oklahoma City Thunder,12/22/17,2017,2991235,1610612760,400975228,3,9,54,1,Alley Oop Dunk Shot,2PT Field Goal,0,Atlanta Hawks,5,6,4009752283954
DeAndre Jordan,LA Clippers,3/27/18,2017,3442,1610612746,400975861,3,7,30,1,Alley Oop Dunk Shot,2PT Field Goal,1,Milwaukee Bucks,-13,11,4009758613730
DeAndre Jordan,LA Clippers,12/22/17,2017,3442,1610612746,400975226,1,10,33,1,Alley Oop Dunk Shot,2PT Field Goal,0,Houston Rockets,-3,1,40097522611033
Steven Adams,Oklahoma City Thunder,3/25/18,2017,2991235,1610612760,400975846,1,8,7,1,Alley Oop Dunk Shot,2PT Field Goal,1,Portland Trail Blazers,-1,13,400975846187
LaMarcus Aldridge,San Antonio Spurs,11/27/17,2017,2983,1610612759,400975046,3,9,1,1,Alley Oop Dunk Shot,2PT Field Goal,1,Dallas Mavericks,0,10,400975046391
DeAndre Jordan,LA Clippers,12/20/17,2017,3442,1610612746,400975216,1,2,11,1,Alley Oop Dunk Shot,2PT Field Goal,0,Phoenix Suns,-1,4,4009752161211
DeAndre Jordan,LA Clippers,4/5/18,2017,3442,1610612746,400975925,1,4,1,1,Alley Oop Dunk Shot,2PT Field Goal,3,Utah Jazz,23,21,400975925141
DeAndre Jordan,LA Clippers,4/1/18,2017,3442,1610612746,400975892,1,3,30,1,Alley Oop Dunk Shot,2PT Field Goal,1,Indiana Pacers,12,15,4009758921330
DeAndre Jordan,LA Clippers,4/5/18,2017,3442,1610612746,400975925,1,4,51,1,Alley Oop Dunk Shot,2PT Field Goal,1,Utah Jazz,-9,13,4009759251451
DeAndre Jordan,LA Clippers,2/5/18,2017,3442,1610612746,400975542,1,4,54,0,Alley Oop Dunk Shot,2PT Field Goal,0,Dallas Mavericks,-6,4,4009755421454
DeAndre Jordan,LA Clippers,3/21/18,2017,3442,1610612746,0,1,1,6,1,Alley Oop Dunk Shot,2PT Field Goal,1,Milwaukee Bucks,-4,14,0116
Aaron Gordon,Orlando Magic,4/11/18,2017,3064290,1610612753,400975968,1,5,21,1,Alley Oop Dunk Shot,2PT Field Goal,1,Washington Wizards,1,11,4009759681521
DeAndre Jordan,LA Clippers,12/29/17,2017,3442,1610612746,400975275,3,2,25,1,Alley Oop Dunk Shot,2PT Field Goal,2,Los Angeles Lakers,1,20,4009752753225
Kevin Durant,Golden State Warriors,2/3/18,2017,3202,1610612744,400975528,2,4,33,1,Alley Oop Dunk Shot,2PT Field Goal,1,Denver Nuggets,-6,14,4009755282433
DeAndre Jordan,LA Clippers,11/27/17,2017,3442,1610612746,400975048,1,9,45,1,Alley Oop Dunk Shot,2PT Field Goal,2,Los Angeles Lakers,8,25,4009750481945
DeAndre Jordan,LA Clippers,3/16/18,2017,3442,1610612746,400975778,1,9,45,1,Alley Oop Dunk Shot,2PT Field Goal,1,Oklahoma City Thunder,-12,7,4009757781945
Kevin Durant,Golden State Warriors,3/2/18,2017,3202,1610612744,400975674,1,8,0,1,Alley Oop Dunk Shot,2PT Field Goal,1,Atlanta Hawks,-5,13,400975674180
Steven Adams,Oklahoma City Thunder,3/16/18,2017,2991235,1610612760,400975778,2,6,36,0,Alley Oop Dunk Shot,2PT Field Goal,1,Los Angeles Clippers,6,19,4009757782636
DeAndre Jordan,LA Clippers,3/2/18,2017,3442,1610612746,400975681,3,5,3,1,Alley Oop Dunk Shot,2PT Field Goal,0,New York Knicks,-1,1,400975681353
Steven Adams,Oklahoma City Thunder,2/14/18,2017,2991235,1610612760,400975607,2,5,20,1,Alley Oop Dunk Shot,2PT Field Goal,0,Memphis Grizzlies,-5,4,4009756072520
DeAndre Jordan,LA Clippers,3/2/18,2017,3442,1610612746,400975681,2,7,0,1,Alley Oop Dunk Shot,2PT Field Goal,0,New York Knicks,-3,1,400975681270
LeBron James,Cleveland Cavaliers,3/25/18,2017,1966,1610612739,400975840,4,4,31,1,Alley Oop Dunk Shot,2PT Field Goal,0,Brooklyn Nets,-3,7,4009758404431
DeAndre Jordan,LA Clippers,12/29/17,2017,3442,1610612746,400975275,3,3,57,0,Alley Oop Dunk Shot,2PT Field Goal,3,Los Angeles Lakers,18,27,4009752753357
DeAndre Jordan,LA Clippers,2/14/18,2017,3442,1610612746,400975604,4,4,5,1,Alley Oop Dunk Shot,2PT Field Goal,0,Boston Celtics,-1,2,400975604445
DeAndre Jordan,LA Clippers,12/13/17,2017,3442,1610612746,400975156,1,1,53,1,Alley Oop Dunk Shot,2PT Field Goal,1,Orlando Magic,-1,18,4009751561153
LeBron James,Cleveland Cavaliers,3/25/18,2017,1966,1610612739,400975840,4,5,40,1,Alley Oop Dunk Shot,2PT Field Goal,0,Brooklyn Nets,-7,4,4009758404540
DeAndre Jordan,LA Clippers,11/1/17,2017,3442,1610612746,400974867,3,3,49,0,Alley Oop Dunk Shot,2PT Field Goal,1,Dallas Mavericks,5,11,4009748673349
DeAndre Jordan,LA Clippers,2/28/18,2017,3442,1610612746,400975667,4,8,22,1,Alley Oop Dunk Shot,2PT Field Goal,3,Houston Rockets,-28,18,4009756674822
DeAndre Jordan,LA Clippers,11/17/17,2017,3442,1610612746,400974971,2,4,16,1,Alley Oop Dunk Shot,2PT Field Goal,0,Cleveland Cavaliers,3,-6,4009749712416
LeBron James,Cleveland Cavaliers,3/17/18,2017,1966,1610612739,400975785,1,8,16,1,Alley Oop Dunk Shot,2PT Field Goal,0,Chicago Bulls,4,1,4009757851816
Steven Adams,Oklahoma City Thunder,3/2/18,2017,2991235,1610612760,400975679,3,6,15,1,Alley Oop Dunk Shot,2PT Field Goal,0,Phoenix Suns,-3,-5,4009756793615
